group_id,post_id
170785923686792,751454558953256
170785923686792,750003495765029
170785923686792,750233585742020
170785923686792,750067555758623
170785923686792,748944185870960
170785923686792,749967942435251
170785923686792,524900148275366
170785923686792,495734347858613
170785923686792,737729936992385
170785923686792,746132652818780
170785923686792,747671392664906
170785923686792,744781899620522
170785923686792,744739392958106
170785923686792,746608176104561
170785923686792,744021466363232
170785923686792,744483612983684
170785923686792,732520794179966
170785923686792,737612617004117
170785923686792,744760279622684
170785923686792,745005402931505
170785923686792,738991876866191
170785923686792,744377682994277
170785923686792,744029179695794
170785923686792,742033186562060
170785923686792,740484860050226
170785923686792,744461256319253
170785923686792,743690233063022
170785923686792,558362808262433
170785923686792,712656682833044
170785923686792,734565587308820
170785923686792,740619353370110
170785923686792,738277726937606
170785923686792,739828633449182
170785923686792,738272063604839
170785923686792,718040155628030
170785923686792,739647596800619
170785923686792,739769056788473
170785923686792,736477920450920
170785923686792,739008856864493
170785923686792,737124707052908
170785923686792,739680343464011
170785923686792,736421550456557
170785923686792,736976230401089
170785923686792,738588383573207
170785923686792,737277917037587
170785923686792,735489723883073
170785923686792,733222287443150
170785923686792,736951487070230
170785923686792,736959413736104
170785923686792,735927473839298
170785923686792,733250677440311
170785923686792,734386683993377
170785923686792,734543197311059
170785923686792,735661193865926
170785923686792,733246354107410
170785923686792,733187464113299
170785923686792,733752077390171
170785923686792,733945804037465
170785923686792,733907107374668
170785923686792,735067990591913
170785923686792,436309250467790
170785923686792,733715767393802
170785923686792,732517917513587
170785923686792,734403427325036
170785923686792,733827624049283
170785923686792,732839990814713
170785923686792,734396517325727
170785923686792,734394883992557
170785923686792,731217267643652
170785923686792,731189477646431
170785923686792,732837050815007
170785923686792,733201260778586
170785923686792,731653094266736
170785923686792,731205460978166
170785923686792,733511327414246
170785923686792,733714894060556
170785923686792,733512847414094
170785923686792,731283507637028
170785923686792,731923474239698
170785923686792,733177010781011
170785923686792,731127774319268
170785923686792,733185807446798
170785923686792,731137387651640
170785923686792,730391084392937
170785923686792,730491574382888
170785923686792,396735344425181
170785923686792,732217520876960
170785923686792,731788254253220
170785923686792,731147447650634
170785923686792,732528347512544
170785923686792,732290900869622
170785923686792,731236764308369
170785923686792,731832987582080
170785923686792,731531044278941
170785923686792,731694880929224
170785923686792,731178914314154
170785923686792,593737241391656
170785923686792,727760667989312
170785923686792,730112881087424
170785923686792,729300187835360
170785923686792,729325771166135
170785923686792,727691751329537
170785923686792,725105834921462
170785923686792,728040031294709
170785923686792,726125874819458
170785923686792,725510758214303
170785923686792,727106284721417
170785923686792,725311921567520
170785923686792,724079791690733
170785923686792,725880844843961
170785923686792,725961851502527
170785923686792,725905778174801
170785923686792,724714884960557
170785923686792,724829618282417
170785923686792,724776961621016
170785923686792,723274145104631
170785923686792,723423535089692
170785923686792,723895955042450
170785923686792,722565098508869
170785923686792,723215855110460
